2025-12-19 13:10:19 | INFO     | training.IWM.regressor | Training log initialized: /home/thunderboltdy/ai-stocks/python-ai-service/training_logs/IWM_regressor_20251219_131019.log
2025-12-19 13:10:19 | DEBUG    | training.IWM.regressor | Symbol: IWM, Model Type: regressor
2025-12-19 13:10:19 | DEBUG    | training.IWM.regressor | Python version: 3.10.19 (main, Oct 21 2025, 16:43:05) [GCC 11.2.0]
2025-12-19 13:10:19 | INFO     | training.IWM.regressor | Starting regressor training for IWM
2025-12-19 13:10:19 | INFO     | training.IWM.regressor | Arguments: epochs=50, batch_size=512, sequence_length=90, seed=42
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | Using all 157 features
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | 
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | ============================================================
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | TARGET DISTRIBUTION CHECK
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | ============================================================
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |    Positive: 53.0% (3,407 samples) | mean: +1.05%
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |    Negative: 46.7% (3,002 samples) | mean: -1.13%
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |    Zero:     0.3% (19 samples)
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |    Overall:  mean=+0.031%, std=1.513%
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | 
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |    Percentiles:
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |       10th: -1.675%
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |       25th: -0.746%
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |       50th: +0.100% (median)
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |       75th: +0.858%
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |       90th: +1.665%
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | 
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | [OK] Distribution is balanced
2025-12-19 13:14:38 | INFO     | training.IWM.regressor | ============================================================
2025-12-19 13:14:38 | INFO     | training.IWM.regressor |    [OK] Target distribution metadata saved to /home/thunderboltdy/ai-stocks/python-ai-service/saved_models/IWM/target_distribution.json
2025-12-19 13:14:40 | INFO     | training.IWM.regressor | 
=== Data Quality Pre-Check ===
2025-12-19 13:14:40 | WARNING  | training.IWM.regressor | [WARN] 36 features have near-zero variance
2025-12-19 13:14:40 | INFO     | training.IWM.regressor | Target range: [-1.2000, 1.2000]
2025-12-19 13:14:40 | INFO     | training.IWM.regressor | Target std: 0.7617 (should be ~1 after scaling)
2025-12-19 13:14:40 | INFO     | training.IWM.regressor | [OK] Data quality checks passed
2025-12-19 13:14:40 | INFO     | training.IWM.regressor | [OK] Training with 157 features (93 technical + 20 new + 34 sentiment)
2025-12-19 13:14:40 | INFO     | training.IWM.regressor |   Input shape: (5071, 90, 157) = (samples=5071, seq_len=90, features=157)
